ID,CALL,CN,TYPE,HANDICAP,PILOT
OGNE0DC7A,,JM,ASW-19b,101,Wilm Ahrens
FLRDD9E31,,EI,Discus,107,Mike Bauer
FLRDDFD36,,E1,LS-4,104,Max Böswald
FLRDDC15A,,1G,ASW-19,101,Florian Graf
FLRDD86AA,,H1,DG-303,105,Karl Janek Grünthaler
FLRDDA756,,999,DG-100,100,Julius Hanßen
FLRDDB004,,TA,LS-1f,101,Wilhelm Klomp-Alexander
FLRDD979B,,1R,LS-4,104,Lars Liebert
FLRDD9AEA,,FR,Std. Libelle,98,Kevin Lippold
FLRDDA3BD,,T,LS-4,104,Julius Lübstorf
FLRDD85FF,,T1,LS-4,104,Moritz Lübstorf
FLRDF08B2,,XN,LS-1d,98,Ulrich Luta
OGNC9EE5F,,LC,LS-4,104,Steffen Dringenberg
OGNC8E459,,WJ,LS-4 WL,104,Elena Mascus
FLRDDFE29,,IGP,LS-4,104,Tobias Pachowsky
OGNEBC855,,SW,Std. Libelle,98,Torben Raatz
FLRDDECF2,,ZG,LS-4b,104,Philipp Rekitt
FLRDD82F6,,sq,Mosquito,107,Carsten Richartz
FLRDF0869,,1,LS-1f neo,101,Nils Ruckert
FLRDD85BD,,MI,LS-4,104,Till Schmidt
OGNCEC858,,P9,LS-4 WL,104,Hauke Schmoranzer
FLRDD8E27,,MS,LS-1d,98,Marius Stelzer
FLRDD9A95,,33,Libelle,98,Frederik Wendland
